"조서관리코드","프로젝트코드","지자체","조서유형(구분)","이전 조서관리코드","최상위 조서관리코드","대분류","중분류","소분류","위치명","지역명","면적기정","면적증감코드","면적변경","면적변경후","결정고시관리코드"
"11350UTZ202103220002","11350PPL202103220002","노원구","변경","","","지구단위계획구역","","","노원구 월계동 402-53일대","광운대 지구단위계획구역","56400","","","56413","11350NTC202103220003"
"11000UTZ202005250001","11000PPL202005250002","서울특별시","신설","","","지구단위계획구역","","","서초구 방배동 988-1번지 일대","방배신동아아파트재건축","0","","","37902.6","11000NTC202005250002"
"11000UTZ202008111114","11290PPL202008110008","성북구","변경","","11000UTZ202008111114","특별계획구역","","","성북구 장위동 144-24일대","장위1구역","80265.6","1","46.6","80312.2","11000NTC202008110008"
"11000UTZ202107300003","11000PPL202107300003","서울특별시","변경","","","지구단위계획구역","","","서초구 내곡동 374번지 일대 ","헌인마을 지구단위계획구역 ","132379.7","","","132523","11000NTC202107300003"
"11000UTZ202503180001","11000PPL202503180003","서울특별시","신설","11000UTZ202410220001","","지구단위계획구역","","","성북구 길음동 535-8번지 일원","길음시장 지구단위계획구역","0","1","10470","10470","11000NTC202503180004"
"11000UTZ202503180002","11290PPL202504220002","서울특별시","변경","11000UTZ202503180001","","지구단위계획구역","","","성북구 길음동 535-8번지 일원","길음시장 지구단위계획구역","10470","1","43","10513","11290NTC202504220002"
"11000UTZ201804253531","11000PPL201711168335","서울특별시","신설","","11000UTZ201804253531","지구단위계획구역","","","금천구 시흥동 970 일원","석수역세권 지구단위계획구역","","1","121812","121812","11000NTC201711168335"
"11590UTZ202202210001","11590PPL202202210005","동작구","신설","","","특별계획구역","","","노량진동 47-2 ","","0","","","8941","11590NTC202202210010"
"11000UTZ200907073801","11000PPL200907023526","서울특별시","폐지","","11000UTZ200907073801","특별계획구역","","","삼성동171-3","","3.38","","3.38","","11000NTC200907023526"
"11000UTZ201711160002","11000PPL201711168338","금천구","폐지","11000UTZ201402103176","","지구단위계획구역","","","금천구 시흥동 957번지 일원","시흥박미사랑마을","49282.4","2","49282.4","0","11000NTC201711168338"
"11000UTZ201711160003","11000PPL201711168338","금천구","폐지","11000UTZ201402103176","","지구단위계획구역","","","금천구 시흥동 938번지 일원","시흥박미사랑마을(II)","97596.2","2","97596.2","0","11000NTC201711168338"
"11000UTZ201711160003","11000PPL201711168338","금천구","폐지","11000UTZ201402103176","","지구단위계획구역","","","금천구 시흥동 938번지 일원","시흥박미사랑마을(II)","97596.2","2","97596.2","0","11000NTC201711168338"
"11000UTZ201711160003","11000PPL201711168338","금천구","폐지","11000UTZ201402103176","","지구단위계획구역","","","금천구 시흥동 938번지 일원","시흥박미사랑마을(II)","97596.2","2","97596.2","0","11000NTC201711168338"
"11000UTZ201107073954","11000PPL201012025681","서울특별시","신설","","11000UTZ201107073954","특별계획구역","","","용산구 한강로3가 40-13 일대","","","1","6458","6458","11000NTC201012025681"
"11000UTZ202507080001","11000PPL202507080001","영등포구","정정","","","지구단위계획구역","","","영등포구 신길동 459-5번지 일원","선택하병무청역세권(신길동 459-번지 일원) 장기전세주택 지구단위계획구역세요","34056.8","","0","34056.8","11560NTC202507080003"
"11000UTZ201010052727","11000PPL201002114513","서울특별시","변경","11000UTZ200905292566","11000UTZ200905292566","지구단위계획구역","","","서울시 강서구 마곡동,가양동,고항동,방화동,내_외발산동 일대","제1종지구단위계획구역","3363591","1","301745","3665336","11000NTC201002114513"
"11740UTZ202003050001","11740PPL202003050030","강동구","신설","","","지구단위계획구역","","","강동구 둔촌동 30-4외 1필지","둔촌현대1차아파트지구단위계획구역","0","","","27673","11000NTC202003050029"
"11410UTZ202305250001","11410PPL202305250003","서대문구","신설","","","지구단위계획구역","","","서대문구 홍은동  14-11번지 일원","홍은 8-1  지구단위계획구역","0","1","4508.98","4508.98","11410NTC202306270006"
"11410UTZ202305250002","11410PPL202401110002","서대문구","변경","11410UTZ202305250001","","지구단위계획구역","","","서대문구 홍은동  14-11번지 일원","홍은 8-1  지구단위계획구역","4508.98","","0","4508.98","11410NTC202401110003"
"11000UTZ201704263406","11000PPL201611107933","서울특별시","변경","11000UTZ201610183358","11000UTZ199612100961","지구단위계획구역","","","동대문구 휘경동 319-5번지 일대","회기구역 지구단위계획구역","130701.5","2","26871.5","103830","11000NTC201611107933"
"11000UTZ201704263406","11000PPL201611107933","서울특별시","변경","11000UTZ201610183358","11000UTZ199612100961","지구단위계획구역","","","동대문구 휘경동 319-5번지 일대","회기구역 지구단위계획구역","130701.5","2","26871.5","103830","11000NTC201611107933"
"11000UTZ201704263406","11000PPL201611107933","서울특별시","변경","11000UTZ201610183358","11000UTZ199612100961","지구단위계획구역","","","동대문구 휘경동 319-5번지 일대","회기구역 지구단위계획구역","130701.5","2","26871.5","103830","11000NTC201611107933"
"11000UTZ201704263406","11000PPL201611107933","서울특별시","변경","11000UTZ201610183358","11000UTZ199612100961","지구단위계획구역","","","동대문구 휘경동 319-5번지 일대","회기구역 지구단위계획구역","130701.5","2","26871.5","103830","11000NTC201611107933"
"11000UTZ201704263406","11000PPL201611107933","서울특별시","변경","11000UTZ201610183358","11000UTZ199612100961","지구단위계획구역","","","동대문구 휘경동 319-5번지 일대","회기구역 지구단위계획구역","130701.5","2","26871.5","103830","11000NTC201611107933"
"11000UTZ200908283812","11000PPL200908133715","서울특별시","신설","","11000UTZ200908283812","특별계획구역","","","상봉동 107-6 일대","망우지구 지구단위계획구역","","1","3974.6","3974.6","11000NTC200908133715"
"11000UTZ200207093993","11000PPL200207092855","서울특별시","실효","","11000UTZ200207093993","지구단위계획구역","","","홍은동 9번지 일대","홍은생활권중심","17000","","","0","11000NTC200207092855"
"11000UTZ202101060001","11000PPL202101060005","서울특별시","폐지","11000UTZ201004083878","","특별계획구역","","","삼청동 산2-53번지 일대","","12985","","","0","11110NTC202101060006"
"11680UTZ202112290003","11680PPL202304170002","강남구","변경","11680UTZ202112290002","","특별계획구역","","","강남구 일원2동 ","개포택지개발지구 지구단위계획","6734","","","6734","11680NTC202304170003"
