"아이디","강의 아이디","강의 카테고리 아이디","강의 카테고리명","강의 명","비용","강의 구분","주차 사용 여부","분반 일련번호","수강신청 상태","강의 시작 일자","등록 일자","수강신청 시작 일자","수료증 로트 명","기관 아이디","기관명","기관 구","X좌표","Y좌표","추천여부","인기여부","신규여부","상태","강의 이미지 파일 경로","수집데이터 아이디","과목 아이디","미리보기 주소","콘텐츠 아이디","회차번호","회차수"
"ASP00001","S2024112014543920260413091407","202601168120107","기타 법정의무","영상으로 떠나는 인권 여행","무료","1","N","01","2026.04.17~2026.12.31","수강신청일로부터30일","2026.04.13","-","","S20241120145439","서울특별시 시민감사옴부즈만위원회","중구","37.56632","126.97783","","","","ING","/upload/course/ASP00001/2026/04/S2024112014543920260413091407.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S2024112014543920260413091407/01.mp4/playlist.m3u8","202604130910551776039055786","149184","1"
"ASP00001","S995520260408151824","202601163306402","사회/정치","서울시 온라인 예산학교","무료","1","N","01","2026.04.13~2026.12.31","수강신청일로부터15일","2026.04.08","-","","S9955","서울특별시 기획조정실 재정기획관 재정담당관","중구","","","","","","ING","/upload/course/ASP00001/2026/04/S995520260408151824.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S995520260408151824/01.mp4/playlist.m3u8","202604081513451775628825997","149176","1"
"ASP00001","S994920260403152306","20260116448397","부모교육","부모교육_아동기 자녀 이해와 자존감 중심 훈육","무료","1","N","01","2026.04.03~2026.12.31","수강신청일로부터30일","2026.04.03","-","","S9949","서울특별시 여성가족실 가족담당관","중구","37.5645366","126.975587","","","","ING","/upload/course/ASP00001/2026/04/S994920260403152306.jpg","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S994920260403152306/01.mp4/playlist.m3u8","202604031518311775197111629","149164","1"
"ASP00001","S2026040310454720260403105154","202601168120107","기타 법정의무","Y-생명지기 자살예방 생명지킴이 교육: 청년용","무료","1","N","01","2026.04.06~2026.12.31","수강신청일로부터30일","2026.04.03","-","","S20260403104547","서울시자살예방센터","중구","37.55937","126.97622","","","","ING","/upload/course/ASP00001/2026/04/S2026040310454720260403105154.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S2026040310454720260403105154/01.mp4/playlist.m3u8","202604031039421775180382401","149161","1"
"ASP00001","S994920260403152504","20260116448397","부모교육","부모교육_청소년기 자녀 이해와 소통","무료","1","N","01","2026.04.03~2026.12.31","수강신청일로부터30일","2026.04.03","-","","S9949","서울특별시 여성가족실 가족담당관","중구","37.5645366","126.975587","","","","ING","/upload/course/ASP00001/2026/04/S994920260403152504.jpg","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S994920260403152504/01.mp4/playlist.m3u8","202604031519031775197143415","149162","1"
"ASP00001","S2026040310454720260403105503","202601168120107","기타 법정의무","S-생명지기 자살예방 생명지킴이 교육: 중장년용","무료","1","N","01","2026.04.06~2026.12.31","수강신청일로부터30일","2026.04.03","-","","S20260403104547","서울시자살예방센터","중구","37.55937","126.97622","","","","ING","/upload/course/ASP00001/2026/04/S2026040310454720260403105503.jpg","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S2026040310454720260403105503/01.mp4/playlist.m3u8","202604031040111775180411554","149159","1"
"ASP00001","S2026040310454720260403104907","202601168120107","기타 법정의무","A-생명지기 자살예방 생명지킴이 교육: 청소년용","무료","1","N","01","2026.04.06~2026.12.31","수강신청일로부터30일","2026.04.03","-","","S20260403104547","서울시자살예방센터","중구","37.55937","126.97622","","","","ING","/upload/course/ASP00001/2026/04/S2026040310454720260403104907.jpg","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S2026040310454720260403104907/01.mp4/playlist.m3u8","202604031038161775180296745","149160","1"
"ASP00001","292026031611192420260316113225","202601168903809","청소년","학교밖청소년 도박문제 예방교육","무료","1","N","01","2026.04.08~2026.12.31","수강신청일로부터30일","2026.03.16","-","","2920260316111924","한국도박문제예방치유원","중구","37.56183","126.99108","","","","ING","/upload/course/ASP00001/2026/03/292026031611192420260316113225.jpg","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/292026031611192420260316113225/01.mp4/playlist.m3u8","202603161108051773626885414","149126","1"
"ASP00001","292026031611192420260316113408","20260116448397","부모교육","학부모 도박문제 예방교육","무료","1","N","01","2026.04.08~2026.12.31","수강신청일로부터30일","2026.03.16","-","","2920260316111924","한국도박문제예방치유원","중구","37.56183","126.99108","","","","ING","/upload/course/ASP00001/2026/03/292026031611192420260316113408.jpg","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/292026031611192420260316113408/01.mp4/playlist.m3u8","202603161108431773626923599","149128","1"
"ASP00001","292026031611192420260316112610","202601164971219","마음건강","성인 도박문제 예방교육","무료","1","N","01","2026.04.08~2026.12.31","수강신청일로부터30일","2026.03.16","-","","2920260316111924","한국도박문제예방치유원","중구","37.56183","126.99108","","","","ING","/upload/course/ASP00001/2026/03/292026031611192420260316112610.jpg","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/292026031611192420260316112610/01.mp4/playlist.m3u8","202603161107321773626852052","149125","1"
"ASP00001","292026031611192420260316112120","202601164971219","마음건강","도박문제 예방 영화(살얼음)","무료","1","N","01","2026.04.08~2026.12.31","수강신청일로부터30일","2026.03.16","-","","2920260316111924","한국도박문제예방치유원","중구","37.56183","126.99108","","","","ING","/upload/course/ASP00001/2026/03/292026031611192420260316112120.jpg","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/292026031611192420260316112120/01.mp4/playlist.m3u8","202603161106481773626808011","149127","1"
"ASP00001","S400120260311103310","202601168120107","기타 법정의무","2026 서울시 굴토안전점검단 직무교육(자치구 담당공무원 포함) : 민간 건축 굴토공사장 상시안전점검 실무교육","무료","1","N","01","2026.03.13~2026.12.31","수강신청일로부터30일","2026.03.11","-","","S4001","서울특별시 건설기술정책관 지역건축안전센터","중구","37.5630589","126.975158","","","","ING","/upload/course/ASP00001/2026/03/S400120260311103310.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S400120260311103310/02.mp4/playlist.m3u8","202603111027051773192425535","149122","1"
"ASP00001","291002920260305153420","202601163306402","사회/정치","생명나눔 인식개선 인터랙티브 드라마: 가족의 선택","무료","1","N","01","2026.03.18~2026.12.31","수강신청일로부터30일","2026.03.05","-","","2910029","한국장기조직기증원","서대분구","37.5620019","126.964508","","","","ING","/upload/course/ASP00001/2026/03/291002920260305153420.jpg","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/291002920260305153420/01.mp4/playlist.m3u8","202603051528501772692130464","149115","1"
"ASP00001","K311420260227101749","202601168120107","기타 법정의무","[Statutory Training] Mandatory Reporting Training ","무료","1","N","01","2026.03.06~2026.12.31","수강신청일로부터30일","2026.02.27","-","","K3114","중앙장애인권익옹호기관","영등포구","37.5399658","126.894264","","","","ING","/upload/course/ASP00001/2026/03/K311420260227101749.jpg","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/K311420260227101749/01.mp4/playlist.m3u8","202602271004581772154298392","149049","1"
"ASP00001","K311420260227101431","202601168120107","기타 법정의무","장애인학대 및 장애인대상 성범죄 신고의무자 교육","무료","1","N","01","2026.03.06~2026.12.31","수강신청일로부터30일","2026.02.27","-","","K3114","중앙장애인권익옹호기관","영등포구","37.5399658","126.894264","","","","ING","/upload/course/ASP00001/2026/03/K311420260227101431.jpg","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/K311420260227101431/01.mp4/playlist.m3u8","202602271004271772154267426","149048","1"
"ASP00001","S994920260225085206","202601168120107","기타 법정의무","서울시 등하원 아이돌보미 직무교육","무료","1","N","01","2026.03.03~2027.03.02","수강신청일로부터30일","2026.02.25","-","","S9949","서울특별시 여성가족실 가족담당관","중구","37.5645366","126.975587","","","","ING","/upload/course/ASP00001/2026/02/S994920260225085206.jpg","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S994920260225085206/01.mp4/playlist.m3u8","202602250843351771976615605","149036","1"
"ASP00001","S994920260225085437","202601168120107","기타 법정의무","서울시 병원동행 아이돌보미 직무교육","무료","1","N","01","2026.03.03~2027.03.02","수강신청일로부터30일","2026.02.25","-","","S9949","서울특별시 여성가족실 가족담당관","중구","37.5645366","126.975587","","","","ING","/upload/course/ASP00001/2026/02/S994920260225085437.jpg","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S994920260225085437/01.mp4/playlist.m3u8","202602250844551771976695652","149040","1"
"ASP00001","P1000020260224155343","202601161206690","장애인식개선","직장 내 장애인 인식개선 교육","무료","1","N","01","2026.03.18~2026.12.31","수강신청일로부터30일","2026.02.24","-","","P10000","한국장애인고용공단","분당구","37.348073","127.123001","","","","ING","/upload/course/ASP00001/2026/02/P1000020260224155343.jpg","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/P1000020260224155343/01.mp4/playlist.m3u8","202602241538331771915113263","149044","1"
"ASP00001","P2025041610375020260210092858","202601168120107","기타 법정의무","2026년 긴급복지지원 신고의무 교육","무료","1","N","01","2026.02.10~2026.12.31","수강신청일로부터30일","2026.02.10","-","","P20250416103750","한국보건복지인재원","충북","36.6426","127.33547","","","","ING","/upload/course/ASP00001/2026/02/P2025041610375020260210092858.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/P2025041610375020260210092858/01.mp4/playlist.m3u8","202602100911471770682307994","148547","1"
"ASP00001","S100120260130102446","20260116875800","영어","영작이 쉬워지는 영문법 &lt;1&gt; Back to the Basic -1","무료","1","N","01","2026.02.11~2026.12.31","수강신청일로부터90일","2026.02.10","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260130102446.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260130102446/01.mp4/playlist.m3u8","S100120260130102446","148708","1"
"ASP00001","S100120260130102448","20260116875800","영어","영작이 쉬워지는 영문법 &lt;2&gt; Level UP -1","무료","1","N","01","2026.02.11~2026.12.31","수강신청일로부터90일","2026.02.10","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260130102448.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260130102448/01.mp4/playlist.m3u8","S100120260130102448","148752","1"
"ASP00001","S100120260130102456","202601165163652","기타 외국어","[시원스쿨] 진짜학습지 프랑스어 첫걸음 2","무료","1","N","01","2026.02.11~2026.12.31","수강신청일로부터90일","2026.02.10","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260130102456.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260130102456/01.mp4/playlist.m3u8","S100120260130102456","148892","1"
"ASP00001","S100120260130102441","202601165163652","기타 외국어","[시원스쿨] GO! 독학 스페인어 첫걸음 -3","무료","1","N","01","2026.02.11~2026.12.31","수강신청일로부터90일","2026.02.10","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260130102441.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260130102441/01.mp4/playlist.m3u8","S100120260130102441","148608","1"
"ASP00001","S100120260130102447","20260116875800","영어","영작이 쉬워지는 영문법 &lt;1&gt; Back to the Basic -2","무료","1","N","01","2026.02.11~2026.12.31","수강신청일로부터90일","2026.02.10","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260130102447.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260130102447/01.mp4/playlist.m3u8","S100120260130102447","148730","1"
"ASP00001","S100120260130102451","20260116875800","영어","영작이 쉬워지는 영문법 &lt;3&gt; Skill UP -2","무료","1","N","01","2026.02.11~2026.12.31","수강신청일로부터90일","2026.02.10","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260130102451.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260130102451/01.mp4/playlist.m3u8","S100120260130102451","148806","1"
"ASP00001","S100120260130102457","202601165163652","기타 외국어","[시원스쿨] 진짜학습지 프랑스어 첫걸음 3","무료","1","N","01","2026.02.11~2026.12.31","수강신청일로부터90일","2026.02.10","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260130102457.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260130102457/01.mp4/playlist.m3u8","S100120260130102457","148910","1"
"ASP00001","S100120260130102443","20260116875800","영어","[시원스쿨] 직장에서 바로 써먹는 비즈니스 영어-1","무료","1","N","01","2026.02.11~2026.12.31","수강신청일로부터90일","2026.02.10","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260130102443.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260130102443/01.mp4/playlist.m3u8","S100120260130102443","148648","1"
"ASP00001","S100120260130102449","20260116875800","영어","영작이 쉬워지는 영문법 &lt;2&gt; Level UP -2","무료","1","N","01","2026.02.11~2026.12.31","수강신청일로부터90일","2026.02.10","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260130102449.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260130102449/01.mp4/playlist.m3u8","S100120260130102449","148771","1"
"ASP00001","S100120260130102438","202601165163652","기타 외국어","[시원스쿨] 상황별로 배우는 독일어 필수 VOKA 1탄 -2","무료","1","N","01","2026.02.11~2026.12.31","수강신청일로부터90일","2026.02.10","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260130102438.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260130102438/01.mp4/playlist.m3u8","S100120260130102438","148564","1"
"ASP00001","S100120260130102444","20260116875800","영어","[시원스쿨] 직장에서 바로 써먹는 비즈니스 영어-2","무료","1","N","01","2026.02.11~2026.12.31","수강신청일로부터90일","2026.02.10","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260130102444.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260130102444/01.mp4/playlist.m3u8","S100120260130102444","148668","1"
"ASP00001","S100120260130102440","202601165163652","기타 외국어","[시원스쿨] GO! 독학 스페인어 첫걸음 -2","무료","1","N","01","2026.02.11~2026.12.31","수강신청일로부터90일","2026.02.10","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260130102440.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260130102440/01.mp4/playlist.m3u8","S100120260130102440","148594","1"
"ASP00001","S100120260130102445","20260116875800","영어","[시원스쿨] 직장에서 바로 써먹는 비즈니스 영어-3","무료","1","N","01","2026.02.11~2026.12.31","수강신청일로부터90일","2026.02.10","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260130102445.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260130102445/01.mp4/playlist.m3u8","S100120260130102445","148688","1"
"ASP00001","S100120260130102453","202601165163652","기타 외국어","[시원스쿨] New 태국어 왕초보 탈출 1-2","무료","1","N","01","2026.02.11~2026.12.31","수강신청일로부터90일","2026.02.10","-","","S1001","서울특별시 평생교육국 평생교육과","중구","37.5645124","126.9757372","","","","ING","/upload/course/ASP00001/2026/thumbnails/S100120260130102453.png","","","https://cdn.seoul.go.kr:443/mvod/_definst_/mp4:/2026/S100120260130102453/01.mp4/playlist.m3u8","S100120260130102453","148841","1"
