뉴딜사업명,상위기관명,하위기관명,부서명,사업년도,상위사업분류,하위사업분류,사업유형,참여대상,전일근무 일근로시간,전일근무 시급,전일근무 계획인원,전일근무 금회선발인원,파트타임 일근로시간,파트타임 시급,파트타임 계획인원,파트타임 금회선발인원,근로기간 시작일자,근로기간 종료일자,사업목적,이런일을 합니다,근무조건,사업담당자 전화번호
서울형 이음공제 운영인력,본청,경제실,일자리정책과,2025,경제,사업관리,시직접추진,일반,8,11779,2,,0,0,0,,20250801,20281231,○ 청년-중장년층 고용 문제 동시 해결 및 세대 간 상생문화 조성 ○ 정책실효성 높은 자산형성 지원으로 중소?중견기업 고용 및 장기재직 촉진 ○ 세대간 기술 이전 및 기술 융합 촉진으로 기업 생산성 향상 도모,"○ 역할: 사업설명 및 안내, 참여자 및 기업 정보 데이터화, 고용상태 확인, 언론 모니터링 등 ○ 직무역량: 사업 설명 등 전달능력, 데이터화 등 소프트웨어 활용능력, 행정업무 수행능력 등 ○ 경력경로 및 비전: 사업 운영 및 관리자, 데이터 생성 및 관리자 등","5개월 / 주 40시간 / 주 5일 / 일급 94,232원 ※ 시급 11,779원 적용",02-2133-5455
서울에너지닥터 전문가,본청,기후환경본부,친환경건물과,2025,"환경,안전",환경?에너지?안전,시직접추진,청년,8,11779,20,14,0,0,0,,20250401,20251231,○ 기후변화 피해 증가에 상대적 대응력이 부족한 환경 약자 생활과 밀접한 건축 부문 에너지 성능 개선으로 기후취약요인 개선 및 탄소중립 실현에 기여 ○ 건물에너지효율개선에 대한 맞춤형 안내 서비스 제공으로 대민 서비스질 향상  ○ 탄소중립분야 건물에너지효율화 관련 현장 실무 등 다양한 경력 형성 기회를 제공하여 민간일자리 진입 촉진,"○ 건물에너지효율화사업 절차, 진행과정 안내 및 민원상담 ○ 건물 에너지 효율 시공 현장을 방문하여 사전 및 사후 점검 ○ 서울시 저탄소건물 정책 홍보 및 시민 참여 유도할 수 있는 활동 지원","○ 사무공간: 서소문청사 1동 13층 에너지설계사 사무실, 서소문청사 1동 11층 친환경건물과    사무기기: 컴퓨터, 전화기, 프린터, 사무용품, 사원증, 명함 등 지급 ○ 현직 건축사와 실무 경험, 자격증？취업 스터디, 참여자별 취업계획서 월별 성취도 점검 등으로 취업의지 고취",02-2181-3587
플랜테리어(원예 인테리어) 컨설턴트 전문가,자치구,서초구,일자리경제과,2025,"교육,혁신",교육,자치구추긴,일반,8,11779,3,3,0,0,0,,20250401,20251231,"■ 사업목적 ○ 플랜테리어(원예 및 화훼) 디자인, 설계, 관리 능력을 바탕으로 생활공간 개선 인테리어 전문가 양성  ○ 공간의 특성과 고객의 요구에 맞춰 최적인 디자인 솔루션 제안    ■ 사업내용 ○ 실내정원(공기정화) 식물 이해 및 실내정원 디자인 등 플랜테리어 현장 실무   ○ 공간과 장소에 맞는 플랜테리어 디자인 기획 및 시공   ○ 플랜테리어 설치 후 관리 방법 교육 및 유지보수 서비스 제공 ","■ 업무내용  ○ 역할: 플랜테리어 디자인 설계, 고객 상담, 시공 및 사후관리 ○ 직무역량: 디자인 기획, 식물 및 인테리어에 대한 지식, 커뮤니케이션 및 문제해결 능력  ○ 경력경로 및 비전: 조경사, 식물보호사, 화훼류 창업, 원예 분야 교육 강사 등 ","■ 참여자격(우대/필수)   ○ 원예?조경 자격증 소지자 및 경력자(우대), 인테리어 및 원예?조경학 전공자(우대)  ■ 근무환경 등 참여자 지원  ○ 사무공간 : 늘풀스튜디오 / 사무기기 : 컴퓨터, 전화기, 프린터, 사무용품 등 지급 ○ 사내 워크숍 참여, 타 직무 교류 등 다양한 기회 제공  ■ 근무내용  ○ 근무지 : 늘풀스튜디오(서초구 동산로2길 24, 401호) ○ 근무기간 : 24.4월 ~ 12월 ○ 근무시간 : 1일 8시간, 주 40시간 근무 ○ 임    금 : 시급 11,779원(25년 서울시 생활임금) 주휴수당, 연차수당, 출장비 지급  ",02-2155-8734
북카페 운영 지원 점장 및 매니저,자치구,강북구,주택과,2025,문화,음식서비스?식품가공,자치구추긴,청년,8,11779,1,,6,11779,2,,20250401,20251231,"□ 사업목적  ○ 청년 인력에게 창업 경험 및 취업을 위한 경력을 제공하고, 지역 일자리 창출에 기여   ○ 카페 운영을 통한 지역 이미지 제고 및 지속적이고 안정적인 주민 네트워크 장 마련  □ 사업내용  ○ 북카페 운영 활성화를 위한 구의 각종 홍보사업 지원   ○ 커피 등 음료 및 디저트 제조 ？ 판매   ○ 각종 재료 등 재고관리 및 발주   ","○ 참여자는 대외적으로 우리구 직영으로 운영하는 북카페에 대한 SNS 및 지역 온라인 네트워크 등 홍보 지원,     주민 커뮤니티 활성화 지원, 주민네트워크 관리, 작업 환경개선 등 다양한 활동 수행  ○ 대내적으로는 원두에 대한 이해를 바탕으로 다양한 종류의 커피 및 디저트 제조, 음료 등 각종 재료에 대한 수요 조사 및 재고정리, 발주 업무,     도서 정리 및 관리, 수익관리 지원 등 다양한 활동 수행      ","점  장(전일근무): 일 8시간, 주 40시간 근무 매니저(파트타임): 일 6시간, 주 30시간 근무",02-901-6825
2025년 공간정보구축 사업,본청,디지털도시국,공간정보과,2025,"교육,혁신",전기?전자?IT,시직접추진,청년,40,11779,4,4,35,11779,26,26,20250401,20251231,○ 공간정보 실무경험과 직무역량을 배양시켜 민간일자리 진입 촉진 ○ 도시의 효율적 관리를 위한 공간정보 융.복합 데이터 구축 ○ 실내 공간정보 구축 ○ 도시시설물 공간정보 구축 ○ 공간정보분야 실무역량 배양 및 직무교육 강화,"○ 서울시 소재 지하철 역사 등 주요 공공시설물에 대한 실내 공간정보를 구축하고, 3차원 모델링을 제작하여 시민들에게 필요한 서비스를 제공하는 업무를 수행합니다   - CAD구축: 주요 공공시설물 설계도면을 기준으로 2D 도면 제작   - 모델링구축: 3차원 실내 공간 모델링(경로 및 속성 등 포함) 구축 등   - 현장조사: 실내 공간 모델링 및 데이터 정확도 검수를 위한 현장조사 등   - 품질검수: 실내공간 모델링 DB 품질검수, 작업일정 관","○ 근로조건 : 주 5일(월~금) 근무, 시급 11,779원(2025년 서울특별시 생활임금 고시)   - (DB 구축 26명) 1일 7시간(09:00~17:00), 일급 82,453원   - (품질검수 4명) 1일 8기간(09:00~18:00), 일급 94,232원  ○ 참여대상   - 만 18세 이상 만 39세 이하 서울시민으로 사업 참여 배제 사유가 없는 자(필수)   - 지적 공간정보 분야 자격증 소지자(우대)   - CAD, 그래픽 관련 자격증 소지자(우대)   - 실내건축인테리어, 실내디자인 관련 경력자(우대)   - 실내공간정보구축, 3차원 모델링 관련 경력자(우대)",02-2133-2859
성북근현대문학관 문학전문인력 양성 ,자치구,성북구,문화체육과,2025,문화,문화?예술?디자인?방송,자치구추긴,청년,8,11779,2,2,0,0,0,,20250401,20251231,"문학관이라는 지역주민과 소통하는 실제 현장에서 문학 프로그램, 전시기획 등의 훈련을 통해 지역문학을 보다 쉽고 즐겁게 향유 할 수 있는 콘텐츠 기획, 실무 진행을 할 지역문학 전문인력을 양성합니다. ","○기획전시 준비를 위한 문인의 자료 조사 및 연구, 자료 아카이빙 ○전시 및 도록 진행, 교육프로그램 기획 ○홈페이지 콘텐츠 관리 및 홍보 콘텐츠 제작 ","◈참여대상: 만18세 이상~만39세 이하(서울시 청년) ◈우대사항: 국문과, 역사학과, 문화재학, 박물관 관련 전공 우대             학예사 자격증 우대  ◈근로조건: 주 5일(주말근무 가능)             1일 8시간(9시~18시) ◈임    금: 시급 11,779원 ◈근로장소: 성북근현대문학관 ◈근로기간: 2025. 4. ~2025.12. ◈문 의 처: 성북근현대문학관 02-2241-1941",02-2241-1941
장애학생 학습 지원사 지원사업,자치구,구로구,장애인복지과,2025,복지,사회복지?보육?상담,자치구추긴,일반,40,11779,3,3,0,0,0,,20250401,20251231,"사업목적 ○ 학습 지원사를 통한 장애학생의 학습권 보장 ○ 지역사회 인력 활용을 통해 안정된 특수교육 환경 제공 사업내용 ○ 사업기간 : 2025. 4. 1. ~ 12. 31.(방학기간 제외, 8개월) ○ 선발대상 : 서울시 거주 중인 40세~65세미만 주민 ○ 선발인원 : 총 3명 ○ 근무장소 : 구로구 서울 정진학교 ○ 근무내용 : 장애학생 학습관련 도움 및 생활안전 지원","참여자는 서울 정진학교에서 근무하면서 교사의 수업, 학생지도, 평가, 상담, 행정업무등을 지원함   - 학생의 개인욕구 지원 : 용변 및 식사, 보조기 착용, 착？탈의, 건강보호 및 안전생활 지원   - 학습활동지원 : 학습자료 및 학용품 준비, 이동보조, 교실과 운동장에서의 학생활동 보조, 학습자료 제작   - 도전행동 관리 지원 : 도전행동 중재, 적응행동 촉진, 부적응 행동관리 및 또래와의 관계형성 지원 등   - 기타 요구 지원 : 등？하교 및 현장체험학습 지원, 기타 학교 행사 지원 등","8개월 / 주 40시간 / 주 5일 / 일급 94,232원",02-860-2345
의류봉제(특종) 전문가,자치구,동대문구,경제진흥과,2025,"교육,혁신",섬유?의복,자치구추긴,일반,8,11779,2,2,0,0,0,,20250401,20251231,패션봉제 복합지원센터 특종장비실에서 의류봉제 관련 다양한  특종 봉제기술을 교육받고 직접 수행하여 의류봉제(특종) 전문가를 양성합니다.,"○ 봉제 특종사 작업 및 보조  - 특수 봉제 기계와 장비를 조작 운용 관리 보조  - 제품 생산을 위해 봉제 기술 활용 작업 수행 보조  - 작업 전후로 장비 정리 등    ※ 특종장비 : 전자단추달이, 고무밴드합봉기, 마루닥고 등",주 5일(월~금) 1일 8시간(9시~18시),02-2127-5605
발달장애인 평생교육 전문인력 양성,자치구,양천구,자립지원과,2025,복지,사회복지?보육?상담,자치구추긴,일반,8,11779,2,2,0,0,0,,20250401,20251231,"○전문 자격증 소지자를 장애인평생교육현장에 배치함으로써 개별 장애인의 특성에 맞춘 교육서비스를 제공하고자 함.  ○장애인복지현장을 공공의 전문 일자리 장소로 제공함으로써 현장의 투명성을 강화하고, 실무중심의 전문 인력을 확대하는데 기여하고자 함. ○장애인복지현장에서 직무중심의 업무 수행을 통해 현장에서 대처할 수 있는 능력을 갖출 수 있음.",○ 역할 : 성인 발달장애인 평생교육 과정 지원 ○ 업무내용   1. 발달장애인 평생교육과정 직접 지원      - 필수 및 선택과목 진행 시 담당 교사 지원      - 교육생 휴게시간 안전 관리      - 외부 활동 시 교육생 교사와 함께 인솔 및 안전 지원   2. 발달장애인 평생교육과정 개발 및 협업      - 발달장애인 평생교육과정 개발 참여      - 특성화 과정 및 단기 프로그램 개발 및 참여   3. 사업계획 및 평가회의 참여      - 배치된 부서에서 진행되는 사업계획회의 및 평가회의에 참여   ,"○참여대상: 만18세이상, 관련 자격증 소지자    - 사회복지사, 특수교사, 재활사, 평생교육사, 보육교사 중 1개 이상 ○우대사항: 없음 ○근로조건: 주 5일(월~금), 1일 8시간(9~18시) ○임 금: 시급 11,779원 ○근로장소: 서울특별시 양천구 중앙로 181, 지하101호  ○근로기간: 2025. 4. ~ 2025. 12. ",02-2620-4694
최중증 성인발달장애인 자립 및 활동지원 전문가,자치구,구로구,장애인복지과,2025,복지,사회복지?보육?상담,자치구추긴,일반,0,0,0,,6,11779,1,1,20250401,20251231,○ 장애인관련 전문자격증 소지자를 평생교육센터에 배치함으로써 중증 성인장애인 지원하여 전문가로써의 역량강화 및 맞춤교육을 지원하고자 함 ○ 중증 성인발달장애인 평생교육과정 업무 및 사례관리 ○ 발달장애인평생교육센터 운영 지원 ○ 중증 발달장애인 평생교육에 필요한 현장중심의 업무수행,"○ 성인발달장애인 평생교육 과정 지원 ○ 최중증 발달장애인의 이해, 개인별 지원방법, 사례관리 등 ○ 장애인복지 실무 경험을 통해 현장 지원시 직접적인 경험으로 인정","배치된 교실 및 사무실에서 업무 / 컴푸터, 전화기, 프린터, 사무용품 등 지급 (필요시) 참여자 수요 반영한 특화 프로그램 ",02-860-2815
