통계연도,자치구코드,자치구명,정원합계,정원_국공립,정원_사회복지법인,정원_법인단체등,정원_민간,정원_가정,정원_부모협동,정원_직장
2025,11440,마포,7241,4160,0,170,1200,589,153,969
2025,11740,강동,12317,6498,87,125,3937,1222,20,428
2025,11710,송파,13605,6653,28,200,3455,1637,0,1632
2025,11680,강남,10357,5790,0,0,1671,517,49,2330
2025,11650,서초,10172,6156,0,202,1170,387,53,2204
2025,11620,관악,7458,4369,52,221,1493,642,0,681
2025,11590,동작,7082,4452,0,62,1481,731,49,307
2025,11560,영등포,9986,4521,79,40,1441,1015,0,2890
2025,11545,금천,5667,2897,179,342,1707,298,0,244
2025,11530,구로,10151,4869,229,235,3047,1173,40,558
2025,11500,강서,12091,5501,173,376,3399,1437,61,1144
2025,11470,양천,7640,4072,0,43,1944,1076,0,505
2025,11410,서대문,5990,3372,0,30,1544,487,0,557
2025,11380,은평,9249,4827,0,156,3546,536,20,164
2025,11350,노원,8854,4285,128,49,2016,2053,0,323
2025,11320,도봉,5638,2759,33,27,1864,672,29,254
2025,11305,강북,5051,2485,62,49,2068,322,16,49
2025,11290,성북,7162,4006,109,402,1441,791,49,364
2025,11260,중랑,8361,3890,0,266,3202,705,26,272
2025,11230,동대문,7611,4625,0,119,1764,777,0,326
2025,11215,광진,5548,3200,0,0,1666,483,49,150
2025,11200,성동,6468,4648,0,158,688,632,0,342
2025,11170,용산,4076,2055,37,110,670,393,0,811
2025,11140,중구,4124,1874,0,304,223,108,0,1615
2025,11110,종로,3843,1752,77,49,121,20,0,1824
2025,11000,계,195742,103716,1273,3735,46758,18703,614,20943
2024,11110,종로,4158,1849,77,49,162,39,0,1982
2024,11740,강동,12448,6377,87,125,4076,1335,20,428
2024,11710,송파,14065,6566,28,116,3904,1839,0,1612
2024,11680,강남,10595,5717,0,0,1785,588,49,2456
2024,11650,서초,9871,5826,0,202,1203,423,74,2143
2024,11620,관악,7767,4384,52,221,1707,722,0,681
2024,11590,동작,7240,4492,0,62,1596,769,49,272
2024,11560,영등포,10318,4640,79,40,1503,1046,0,3010
2024,11545,금천,6033,2966,223,429,1774,355,0,286
2024,11530,구로,10502,4895,229,235,3191,1339,40,573
2024,11500,강서,12695,5506,173,376,3893,1718,61,968
2024,11470,양천,8153,4143,0,43,2201,1290,0,476
2024,11000,계,202722,103212,1369,4126,51192,20952,655,21216
2024,11440,마포,7640,4272,0,170,1322,706,153,1017
2024,11410,서대문,6058,3323,0,82,1585,524,20,524
2024,11380,은평,9950,4931,0,228,4043,554,20,174
2024,11350,노원,9315,4322,128,49,2229,2194,0,393
2024,11320,도봉,6073,2806,33,27,2217,707,29,254
2024,11305,강북,5261,2374,62,49,2347,322,16,91
2024,11290,성북,7255,3949,109,501,1472,811,49,364
2024,11260,중랑,8430,3843,0,266,3280,743,26,272
2024,11230,동대문,7657,4100,0,119,2141,971,0,326
2024,11215,광진,5700,3047,0,0,1838,616,49,150
2024,11200,성동,6816,4826,0,158,766,724,0,342
2024,11170,용산,4583,2184,89,275,734,490,0,811
2024,11140,중구,4139,1874,0,304,223,127,0,1611
2023,11410,서대문,6428,3360,0,82,1883,559,20,524
2023,11740,강동,11941,5435,87,76,4491,1438,20,394
2023,11710,송파,14751,6499,28,116,4447,2027,48,1586
2023,11680,강남,10591,5326,0,0,2052,708,49,2456
2023,11650,서초,10060,5791,0,202,1239,559,74,2195
2023,11620,관악,8185,4457,52,221,1973,801,0,681
2023,11590,동작,7417,4382,0,101,1783,830,49,272
2023,11560,영등포,10668,4654,79,40,1731,1105,0,3059
2023,11545,금천,6455,2886,223,524,2097,370,0,355
2023,11530,구로,10947,5141,229,295,3297,1448,60,477
2023,11500,강서,13386,5462,173,376,4359,1904,76,1036
2023,11470,양천,8857,4229,0,43,2633,1474,0,478
2023,11440,마포,8016,4478,0,170,1408,822,153,985
2023,11380,은평,10410,4805,0,248,4610,553,20,174
2023,11350,노원,9745,4473,148,49,2304,2351,0,420
2023,11320,도봉,6776,3007,33,27,2596,820,29,264
2023,11305,강북,5749,2630,62,49,2537,340,40,91
2023,11290,성북,7857,4014,109,622,1713,986,49,364
2023,11260,중랑,9057,3912,0,286,3746,815,26,272
2023,11230,동대문,7817,3909,0,148,2422,1012,0,326
2023,11215,광진,6083,3033,0,0,2108,712,49,181
2023,11200,성동,6952,4777,0,158,894,781,0,342
2023,11170,용산,4759,2159,89,295,855,550,0,811
2023,11140,중구,4158,1854,0,304,223,166,0,1611
2023,11110,종로,4183,1905,77,49,163,39,0,1950
2023,11000,계,211248,102578,1389,4481,57564,23170,762,21304
2022,11440,마포,8409,4639,0,210,1508,879,153,1020
2022,11740,강동,12454,5405,87,76,4957,1529,20,380
2022,11710,송파,15563,6581,107,116,4916,2288,48,1507
2022,11680,강남,10725,5150,0,0,2472,683,69,2351
2022,11650,서초,10016,5408,0,237,1372,663,74,2262
2022,11620,관악,8988,4731,82,299,2290,905,0,681
2022,11590,동작,7561,4211,0,101,1940,941,49,319
2022,11560,영등포,11461,4536,79,66,2499,1177,0,3104
2022,11545,금천,6932,2965,223,573,2399,388,0,384
