시설id,등록일시,수정일시,시설명,서비스분류코드,서비스분류명,자치구코드,자치구명,행정동 코드,행정동명,x좌표값,y좌표값,우편번호,기본주소,상세주소,운영시작일,연락처,사용료무료여부,운영일,휴관일,이용정원(기관),이용정원(개인),신청가능연령,자치구코드배열
YS260401,2026-04-28T16:55:51,2026-04-30T17:28:21,서울형 키즈카페 용산구 청파동점,1011,서울형키즈카페,11170,용산구,3020106,청파동,126.96537,37.54823,4306,서울특별시 용산구 효창원로86가길 28,2층 (청파동1가),2026-05-02T00:00:00,02-6272-1003,N,월~토요일,"일요일, 어린이날을 제외한 공휴일, 근로자의 날",,,4세 ~ 8세,11170
DJ260401,2026-04-20T13:43:53,2026-04-30T10:53:57,서울형 키즈카페 동작구 노량진2동점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190040,노량진2동,126.94224,37.50935,6925,서울특별시 동작구 장승배기로20길 46-3,1층 (송학대교회 교육관),2026-04-30T00:00:00,070-7163-1481,N,월~토요일,"일, 공휴일",,,0세 ~ 6세,11590
GS260401,2026-04-15T18:00:13,2026-04-21T14:48:58,서울형 키즈카페 시립 서울식물원점,1011,서울형키즈카페,11500,강서구,3150056,가양1동,126.82842,37.56531,7789,서울특별시 강서구 마곡동로 161,4층(서울식물원 식물문화센터),2026-04-20T00:00:00,02-2658-7772,N,화 ~ 일 ,매주 월요일 (월요일이 공휴일인 경우에는 그 공휴일 다음의 첫 번째 비공휴일에 휴원),,,4세 ~ 9세,11500
JR260301,2026-03-23T18:12:29,2026-04-15T10:00:47,서울형 키즈카페 중랑구 중화2동점(중랑실내놀이터 중랑역점),1011,서울형키즈카페,11260,중랑구,3060050,중화2동,127.07492,37.59502,2110,서울특별시 중랑구 중랑역로3길 28,2층 (중화동),2026-04-02T00:00:00,02-436-3681,Y,화요일 ~ 일요일,"월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정",,,2세 ~ 6세,11260
SB260302,2026-03-18T10:27:16,2026-04-24T11:18:13,서울형 키즈카페 성북구 월곡1동점,1011,서울형키즈카페,11290,성북구,3070060,월곡1동,127.03796,37.60568,2750,서울특별시 성북구 오패산로10길 19,육아종합지원센터 2층 (하월곡동),2026-03-25T00:00:00,02-2241-0758,N,월~토,"일요일, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일",,,0세 ~ 4세,11290
NW260302,2026-03-12T11:17:59,2026-04-21T17:39:40,서울형 키즈카페 노원구 상계2동점,1011,서울형키즈카페,11350,노원구,3100055,상계2동,127.06739,37.66068,1685,서울특별시 노원구 상계로9나길 25,빛가온교회 드림센터 1층 (상계동),2026-03-30T00:00:00,02-952-3446,N,월~토,"일, 공휴일, 근로자의 날",,,0세 ~ 4세,11350
EP260302,2026-03-09T20:18:48,2026-04-19T11:51:00,서울형 키즈카페 은평구 갈곡리공원점(은평아이맘놀이터),1011,서울형키즈카페,11380,은평구,3110042,갈현1동,126.91664,37.62392,3318,서울특별시 은평구 갈현로41길 3,"지하1층, 지상1층 (갈현동 ,주차공간 없음)",2026-03-31T00:00:00,02-388-0752,N,화~일요일,"월요일(정기휴관), 근로자의 날, 법정 공휴일(어린이날 제외)",,,4세 ~ 7세,11380
GD260301,2026-03-03T13:20:49,2026-04-28T18:14:42,강동구 광나루한강공원,1011,서울형키즈카페,11740,강동구,3240049,천호1동,127.117876210421,37.5449569539541,5250,서울특별시 강동구 선사로 83-19,수상구조대 옆 (천호동),2026-03-27T00:00:00,010-5412-4945,N,"주말(토, 일)",평일,,,4세 ~ 9세,11740
SC260301,2026-03-03T13:14:26,2026-04-28T18:14:58,서초구 반포한강공원 서래섬,1011,서울형키즈카페,11650,서초구,3210046,반포1동,126.987469626347,37.5070954009285,6500,서울특별시 서초구 신반포로11길 40,서래섬 (반포동),2026-04-06T00:00:00,010-5412-4945,N,"주말(토, 일)",평일,,,4세 ~ 9세,11650
GN260301,2026-03-03T13:11:48,2026-04-28T18:15:06,강남구 잠원한강공원,1011,서울형키즈카페,11680,강남구,3220141,압구정동,127.019239547903,37.5275983991295,6000,서울특별시 강남구 압구정로11길 37-30,잠원한강공원 내 다목적구장 (압구정동),2026-04-06T00:00:00,010-5412-4945,N,"주말(토, 일)",평일,,,4세 ~ 9세,11680
GJ260302,2026-03-03T13:09:38,2026-04-28T18:15:14,광진구 뚝섬한강공원,1011,서울형키즈카페,11215,광진구,3040048,자양1동,127.069636992684,37.5284610248069,5097,서울특별시 광진구 강변북로 2230,뚝섬한강공원 내 수변무대 (자양동),2026-04-06T00:00:00,010-5412-4945,N,"주말(토, 일)",평일,,,4세 ~ 9세,11215
GJ260301,2026-03-03T13:05:32,2026-04-30T13:13:02,광진구 구의공원,1011,서울형키즈카페,11215,광진구,3040053,구의1동,127.094461960489,37.5368999409752,5118,서울특별시 광진구 광나루로56길 86, (구의동),2026-04-06T00:00:00,010-5412-4945,N,"주말(토, 일)",평일,,,4세 ~ 9세,11215
NW260301,2026-03-03T11:25:17,2026-04-28T18:15:34,노원구 화랑대 철도공원,1011,서울형키즈카페,11350,노원구,3100189,공릉1동,127.094164824246,37.6252586547299,1802,서울특별시 노원구 화랑로 608, (공릉동),2026-04-06T00:00:00,010-7790-9636,N,"주말(토, 일)",평일,,,4세 ~ 9세,11350
SB260301,2026-03-03T11:20:54,2026-04-30T18:12:11,성북구 우이천 다목적광장,1011,서울형키즈카페,11290,성북구,3070145,석관동,127.070060777316,37.613877222164,2780,서울특별시 성북구 화랑로 376,성북구 겨울 눈썰매장 우이천,2026-04-06T00:00:00,010-7790-9636,N,"주말(토, 일)",평일,,,4세 ~ 9세,11290
DM260301,2026-03-03T11:15:33,2026-04-30T18:07:57,동대문구 배봉산 근린공원,1011,서울형키즈카페,11230,동대문구,3050045,전농1동,127.06274,37.57844,2508,서울특별시 동대문구 전농로16길 97, (전농동),2026-04-06T00:00:00,010-7790-9636,N,주말(토),"평일, 일요일",,,4세 ~ 9세,11230
YF260302,2026-03-03T11:10:25,2026-04-30T13:09:31,영등포구 여의도한강공원,1011,서울형키즈카페,11560,영등포구,3180045,여의동,126.938026664642,37.5244910387406,7337,서울특별시 영등포구 여의도한강공원길 231,녹음수광장 옆 잔디마당 (여의도동),2026-04-06T00:00:00,010-5799-9247,N,"주말(토, 일)",평일,,,3세 ~ 7세,11560
YF260301,2026-03-03T11:08:51,2026-04-30T13:12:25,영등포구 영등포공원,1011,서울형키즈카페,11560,영등포구,3180153,영등포동,126.911170681674,37.5155918454862,7307,서울특별시 영등포구 신길로 275,영등포공원 (영등포동),2026-04-06T00:00:00,010-5799-9247,N,"주말(토, 일)",평일,,,3세 ~ 7세,11560
GR260301,2026-03-03T11:05:29,2026-04-30T13:11:48,구로구 푸른수목원,1011,서울형키즈카페,11530,구로구,3160252,항동,126.823562425488,37.4827129199947,8361,서울특별시 구로구 연동로 240,잔디마당 (항동),2026-04-06T00:00:00,010-5799-9247,N,"주말(토, 일)",평일,,,3세 ~ 7세,11530
YC260302,2026-03-03T11:04:10,2026-04-28T15:01:54,양천구 오목공원,1011,서울형키즈카페,11470,양천구,3140039,목1동,126.87365,37.52757,7996,서울특별시 양천구 목동서로 159-2, (목동),2026-04-06T00:00:00,010-5799-9247,N,"주말(토, 일)",평일,,,3세 ~ 7세,11470
YC260301,2026-03-03T11:02:44,2026-04-29T11:22:05,양천구 파리공원,1011,서울형키즈카페,11470,양천구,3140043,목5동,126.87708,37.53449,7983,서울특별시 양천구 목동동로 363, (목동),2026-04-06T00:00:00,010-5799-9247,N,"주말(토, 일)",평일,,,3세 ~ 7세,11470
YS260301,2026-03-03T11:00:41,2026-04-30T13:10:50,용산구 이촌한강공원,1011,서울형키즈카페,11170,용산구,3020051,이촌1동,126.967884584561,37.5186549539543,4427,서울특별시 용산구 이촌로72길 62,차범근 축구교실 옆 (이촌동),2026-04-06T00:00:00,010-5799-9247,N,"주말(토, 일)",평일,,,3세 ~ 7세,11170
GS260302,2026-03-03T10:58:39,2026-05-02T10:09:51,강서구 서울식물원,1011,서울형키즈카페,11500,강서구,3150056,가양1동,126.830297494017,37.566549294747,7789,서울특별시 강서구 마곡동로 161, (마곡동),2026-04-06T00:00:00,070-7834-1655,N,"주말(토, 일)",평일,,,4세 ~ 9세,11500
