구분별(1),보증금 규모별(1),2013 3/4,2013 4/4,2014 1/4,2014 2/4,2014 3/4,2014 4/4,2015 1/4,2015 2/4,2015 3/4,2015 4/4,2016 1/4,2016 2/4,2016 3/4,2016 4/4,2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4
전체,전체,7.8,7.6,7.7,7.3,7.2,7.1,6.7,6.9,6.4,6.4,6.2,6.1,5.3,4.9,5.2,5,4.9,4.7,4.8
전체,1억원 이하,8.4,8.3,8.6,8.3,8.2,8.3,7.7,7.8,7.4,8,7.1,7.4,6.7,6.3,6.5,6.4,6.1,5.9,6
전체,1억원 초과 ~ 2억원 이하,6.4,6.5,6.6,6.2,6.3,6.4,5.8,6.1,5.7,5,5.4,5.5,4.8,4.4,4.5,4.5,4.2,4,4.1
전체,2억원 초과 ~ 3억원 이하,6.1,6.6,6.7,6.1,6.3,6.2,5.9,6.1,5.7,5.1,5.6,5.3,4.5,4.2,4.3,4.3,3.7,3.9,4
전체,3억원 초과,6,6.8,6.6,5.2,6,6.5,5.9,6,6,4.9,5.7,5.5,4.4,4.2,4.6,4.2,3.9,3.9,4.1
아파트,전체,...,...,...,6.6,6.6,6.7,6.2,6.4,6.1,5.5,6,5.5,4.8,4.4,4.8,4.4,4.1,4,4.2
아파트,1억원 이하,8.4,8.7,8.3,8.2,7.7,7.8,6.9,7.2,6.8,6.9,6.3,6.7,5.8,5.6,5.8,5.5,5.5,5.3,5.3
아파트,1억원 초과 ~ 2억원 이하,6.8,7.3,6.9,6.4,6.5,6.7,6.1,6.4,6.1,5.6,5.9,5.4,4.9,4.5,4.9,4.5,4.2,3.9,4.3
아파트,2억원 초과 ~ 3억원 이하,6.5,6.7,6.8,6.1,6.3,6.3,6.1,6.3,5.8,5.4,5.9,5.3,4.7,4.4,4.6,4.4,3.7,3.9,4.1
아파트,3억원 초과,6,6.9,6.6,5.2,6,6.5,5.9,6,6,4.9,5.9,5.5,4.5,4.2,4.6,4.2,3.8,4,4.1
단독·다가구,전체,...,...,...,7.9,7.9,7.8,7.5,7.5,7.2,7.7,6.8,6.9,6.1,5.8,6.1,5.9,5.6,5.3,5.5
단독·다가구,1억원 이하,8.3,8.6,8.8,8.4,8.6,8.5,8.1,8.1,7.7,8.5,7.4,7.7,7.1,6.6,6.9,6.7,6.5,6.3,6.2
단독·다가구,1억원 초과 ~ 2억원 이하,5.6,5.8,6,5.5,6,6.1,5.5,6.2,5.5,4.9,5.3,5.6,4.8,4.5,4.5,4.7,4.3,4.2,4
단독·다가구,2억원 초과 ~ 3억원 이하,3.3,6.7,-,-,-,-,-,5,5,4.3,4.8,5,3.9,4.1,3.8,3.6,3.9,3.7,3.8
단독·다가구,3억원 초과,-,4.6,-,-,-,-,-,-,6,-,-,3.2,3.9,4.2,-,-,-,-,-
다세대·연립,전체,...,...,...,7.2,7,6.9,6.6,6.6,6.2,6,5.8,6.1,5.2,4.8,4.9,4.9,4.5,4.4,4.5
다세대·연립,1억원 이하,8.6,7.9,8.3,8.2,8,8.1,7.6,7.5,7.1,7.4,6.9,7.2,6.4,6.1,6.3,6.1,5.6,5.5,5.6
다세대·연립,1억원 초과 ~ 2억원 이하,6.4,6.5,6.5,6.1,6.2,6.2,5.7,5.9,5.6,4.6,5.2,5.5,4.8,4.3,4.5,4.5,4.1,3.9,4
다세대·연립,2억원 초과 ~ 3억원 이하,6.1,5.6,6.3,-,5.8,5.7,4.9,5.6,5.2,4.1,5,5.2,4.2,3.8,3.9,4.1,3.7,3.7,3.7
다세대·연립,3억원 초과,-,6.1,-,-,-,-,-,-,5.7,5.1,-,5.2,3.9,4.5,4.3,4,4.5,3.4,3.7
