2019년 국민임대주택 공급계획,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
,,,,,,,,2019년 5월 현재,
유형,단지명,계,공급예정물량 (전용면적),,,,"준공
(예정)월","공급
(예정)월",비고
,,,29㎡,39㎡,49㎡,소재지,,,
,,,,,,,,,
국민임대주택,고덕강일4단지,396,166,230,,"강동구            고덕동, 강일동",2020.6,2019.12,일부세대 철거민 특별공급예정
,고덕강일6단지,689,163,183,343,,2020.4,,
,고덕강일7단지,619,142,206,271,,2020.5,,
,12월 공급소계,1704,471,619,614,,,,
,,,,,,,,,
"※ 사업계획변경에 따라 공급량의 증·감이나 공급시기 조정이 있을 수 있으며, 위 물량은 철거민 특별공급 물량이 확정되어 있지 않아 신청현황에 따라 변동될 수 있습니다.
※ 상기 공급계획은 신규공급 물량입니다.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
