ID,SQ1,SQ2_1,SQ2_2,SQ3,A1,A2,A3_1,A3_2,A3_3,A3_4,A3_5,A4,B1,B2,B3,B3_ETC,B4,B5_1,B5_2,B5_3,B5_4,B6,B7_1,B7_2,B7_3,B8,B8_ETC,C1,C1_ETC,C2,C3,C3_ETC,C4,C4_1,C5_1,C5_2,C5_3,C5_4,C5_ETC,C6_1,C6_2,C7_1,C7_2,C8,C9_1,C9_2,C9_3,C9_4,C10,C10_ETC,D1,D2_1,D2_2,D2_3,D2_ETC,D3,D4,D5_1,D5_2,D5_3,D6,D6_ETC,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_ETC,E2_1,E2_2,E2_3,E2_ETC,E3_1,E3_2,E3_3,E3_4,E3_5,E3_6,E3_7,E3_8,E3_9,E3_10,E3_ETC,E4_1,E4_2,E4_3,E4_4,E4_5,E4_6,E4_7,E4_8,E4_9,E4_ETC,E5,E6_1,E6_2,E6_3,E6_ETC,E7_1,E7_2,E7_3,E8,E8_ETC,F1_1,F1_2,F1_3,F1_4,F1_5,F2,F2_ETC,F3_1,F3_2,F3_ETC,F4,F5,F5_ETC,F6,G1_1,G1_2,G1_3,G1_ETC,G2_1,G2_2,G2_ETC,G3_1,G3_2,G3_3,G3_4,G3_5,G3_6,G3_7,G3_8,G3_9,G4_1,G4_2,G4_3,G4_4,G4_5,G4_6,G4_7,G4_8,G4_9,G4_10,G4_11,G4_12,G4_13,G4_14,G4_15,G5_1,G5_2,G5_3,G5_4,G5_5,G5_6,G5_7,G5_8,G5_9,G5_ETC,G6_1,G6_2,G6_3,G6_4,G6_5,G6_6,G6_ETC,G7_1,G7_2,G7_3,G7_4,G7_5,G8,G8_ETC,G9_1,G9_2,G9_ETC,G10,G11_1,G11_2,G11_3,G11_ETC,G12_1,G12_2,G12_3,G13,G14,H1,H2,H3,H3_ETC,H4,H5_1,H5_2,H6,I1_1,I1_2,I1_3,I1_4,I1_5,I2_1,I2_2,I3_1,I3_2
10009865,1,61,4,7,3,1,,2,,4,,1,5,1,1,,3,1,,3,,3,2,1,1,2,,1,,5,1,,1,2001,34,11,44,11,저축은행,19,2,2,1,3,4,1,1,1,2,,3,3,4,5,,1,1,2,1,1,2,,,,3,,,,,,,3,4,6,,,2,,,,6,7,,,,,,,,4,5,,,,,,2,2,1,3,,3,1,1,2,,2,1,1,2,3,5,,3,2,,2,,,3,5,4,10,,4,3,,2,1,1,1,3,3,1,1,1,,,,,,,7,8,,,,,,,,,,,,5,,,,,,,,3,,,,,,,2,,,2,,2,3,,2,4,3,5,,2,1,1,3,3,1,3,2,,2,2,1,3,3,1,1,1,2,3,1,4,3
10043100,1,60,4,14,5,1,1,,,,,1,5,1,1,,4,,2,3,,5,3,3,4,1,,2,,5,2,,2,,,,,,,60,0,3,4,3,4,4,4,4,3,,6,2,7,1,,1,30,3,4,4,2,,,2,,,5,,,,,1,2,8,,,2,,,,6,,,,,,,2,,,,,,8,,,3,2,1,3,,3,2,4,2,,3,3,4,3,4,1,,4,5,,4,3,,4,1,2,9,,1,5,,2,2,2,3,2,1,1,1,1,1,2,,4,5,6,,,9,,,,,,,1,,,,,,,,,,,,,,,6,,,,,,,1,,3,4,,2,9,1,2,,3,4,4,3,4,1,2,1,,2,4,4,5,2,3,3,3,2,3,3,6,6
10075912,2,61,4,6,2,2,,,,,5,,1,1,4,,3,,2,3,,4,2,3,3,1,,2,,2,3,,1,1998,70,30,0,0,아직집이없음,30,8,4,2,2,3,3,3,3,3,,3,2,8,6,,1,50,3,4,4,1,,1,,,,,,,,,4,2,1,,,2,,,,,,,,,,,,3,,,,,,,,3,5,1,6,,4,4,4,1,,3,2,3,3,3,7,,1,5,,4,2,,3,2,1,5,,5,2,,2,2,2,2,2,2,2,1,1,,,,,5,,,,,,,,,,,,,,,,,,,9,,,,,,,6,,,,,,,1,,3,1,,3,1,3,5,,3,3,3,3,3,2,,4,,2,3,2,3,2,3,3,3,3,3,4,3,3
10168518,2,62,4,13,1,2,1,,,,,3,1,3,,,1,,,,4,5,4,4,4,2,,2,,2,1,,1,1983,20,80,0,0,,62,11,4,1,2,4,4,4,3,3,,1,7,10,11,,2,,4,4,4,2,,1,,,,,,,,,1,5,8,,,,,,,,,,,10,,,,,,,,,,,,2,1,2,3,,5,4,4,2,,2,2,4,4,2,3,,4,5,,4,1,,4,9,1,6,,1,2,,4,2,2,2,2,2,2,2,1,1,2,,,5,6,,,,,,,,,,,,,4,,,,,,,,,,4,,,,,,,2,,3,,3,2,,3,2,10,3,,3,3,4,2,4,2,,3,,2,3,3,4,3,3,3,3,2,4,4,1,1
10308626,2,62,4,23,3,1,1,,,,,1,7,1,2,,4,,,,4,4,4,4,4,2,,1,,5,1,,1,1987,50,50,0,0,,33,0,4,3,3,3,4,4,4,3,,2,7,1,2,,1,50,4,4,3,2,,1,2,,,,,,,,2,3,6,,1,,,,,,,,,,,1,2,,,,,,,,,4,1,2,3,,4,4,4,1,,4,3,4,4,4,1,,2,1,,3,1,,4,9,1,2,,1,4,,1,2,2,2,1,1,1,1,1,,,,,,6,,,9,,,,,,,1,,,,5,,,,,,,,,,,6,,,,,,,1,,3,4,,3,2,3,1,,2,2,2,4,4,1,2,3,,3,3,4,4,3,4,3,3,3,4,4,8,8
10338478,1,62,4,12,1,2,1,,,,,3,1,1,1,,3,,2,,,4,2,4,2,1,,2,,3,1,,1,1990,60,40,0,0,,58,6,4,4,3,3,4,4,3,4,한계에부딪힐것같네요,2,2,1,11,,1,80,3,3,3,1,,,,,,,,,8,,,,,,,,,,,,,,,10,,,,,,,,,,,,3,1,5,6,,4,4,3,2,,3,2,4,3,3,9,,4,5,,2,,,3,1,9,6,,3,1,,2,1,2,2,1,2,1,1,1,1,,,4,,6,,,9,,,,,,,,,,,,,,,9,,,,,,,6,,,,,,,1,,7,,,3,1,5,9,,1,2,2,4,4,1,2,1,,2,3,2,4,3,3,3,4,3,4,3,5,4
10502177,2,61,4,16,3,1,,2,,,,1,5,1,7,,4,,,,4,5,1,2,2,1,,1,,6,1,,1,1988,50,30,20,0,,21,6,2,4,4,2,2,2,2,3,,8,9,11,6,,2,,2,4,4,2,,1,,,,,,,,,5,1,9,,,,,,,,,,,10,,,,,,,,,,,,4,1,2,3,,4,4,4,2,,4,4,4,5,4,7,,4,5,,4,1,,4,2,11,4,,3,1,,1,1,1,2,2,2,2,2,1,,,,,,,,,,,,,,,15,,,,,,,,,9,,,,,,,6,,,,,,,1,,7,,,3,1,2,9,,1,1,1,4,4,1,5,5,,2,2,3,4,2,1,2,2,2,4,4,7,8
10560678,2,64,4,21,4,1,1,,,,,1,3,3,,,3,,,,4,4,5,5,5,1,,1,,7,1,,1,1980,100,0,0,0,,64,0,2,1,3,4,4,4,4,2,,3,1,2,3,,1,90,4,3,3,2,,1,2,,,,,,,,6,8,5,,,,,,,,,,,10,,,,,,,,,,,,3,1,3,6,,4,4,4,2,,3,3,4,4,4,7,,5,4,,4,1,,4,6,9,1,,3,2,,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,15,,,,,,,,,9,,,,,,,6,,,,,,,2,,3,4,,4,,,,,2,2,2,4,4,1,3,8,,3,3,2,4,3,2,2,3,3,4,4,8,8
11047637,2,62,4,7,2,1,1,,,,,3,1,1,6,,3,,2,,,4,2,2,1,1,,1,,5,1,,1,1984,30,50,20,0,,42,3,3,3,3,2,2,3,2,2,,8,1,7,2,,1,90,1,1,1,2,,1,2,,,,,,,,2,1,5,,,,,,,,,,,10,,,,,,,,,,,,3,1,3,2,,3,3,3,2,,4,3,5,4,4,9,,3,4,,3,1,,4,1,2,9,,1,3,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,6,,,,,,,1,,7,,,4,,,,,1,2,1,3,3,1,10,1,,2,4,4,3,2,4,3,3,3,3,4,6,6
11048862,2,60,4,4,3,1,1,,,,,1,1,3,,,1,,,,4,5,4,4,4,1,,2,,3,2,,1,1982,0,0,0,100,결혼,37,6,5,5,1,4,4,4,4,3,,5,2,1,7,,1,50,2,5,5,1,,1,,,,,,,,,2,8,9,,,,,,,,,,,10,,,,,,,,,,,,1,3,2,1,,5,5,5,2,,4,4,4,4,4,2,,1,5,,5,1,,5,5,1,9,,1,3,,4,4,4,4,4,4,4,4,4,1,,,,5,6,7,,9,,,,,,,,,,,,,,,9,,,,,,,6,,,,,,,2,,3,1,,1,2,1,3,,5,5,5,1,5,1,3,5,,1,3,3,5,1,1,1,1,1,3,3,5,5
