"통계연도","자치구코드","자치구명","구분","구분명","소계","아동수_국공립","아동수_사회복지법인","아동수_법인단체등","아동수_민간","아동수_가정","아동수_부모협동","아동수_직장"
"2025","11410","서대문","2","아동현원수","4187","2461","0","5","1032","406","0","283"
"2025","11740","강동","3","정원충족률","75.88%","79.69%","65.52%","94.4%","66.65%","83.72%","65.%","77.8%"
"2025","11740","강동","2","아동현원수","9346","5178","57","118","2624","1023","13","333"
"2025","11740","강동","1","아동정원수","12317","6498","87","125","3937","1222","20","428"
"2025","11710","송파","3","정원충족률","76.97%","80.43%","50.%","50.5%","72.21%","87.48%","0.%","66.12%"
"2025","11710","송파","2","아동현원수","10472","5351","14","101","2495","1432","0","1079"
"2025","11710","송파","1","아동정원수","13605","6653","28","200","3455","1637","0","1632"
"2025","11680","강남","3","정원충족률","63.52%","67.96%","0.%","0.%","67.38%","69.44%","55.1%","48.58%"
"2025","11680","강남","2","아동현원수","6579","3935","0","0","1126","359","27","1132"
"2025","11680","강남","1","아동정원수","10357","5790","0","0","1671","517","49","2330"
"2025","11650","서초","3","정원충족률","66.64%","70.08%","0.%","82.18%","68.12%","83.72%","64.15%","51.91%"
"2025","11650","서초","2","아동현원수","6779","4314","0","166","797","324","34","1144"
"2025","11650","서초","1","아동정원수","10172","6156","0","202","1170","387","53","2204"
"2025","11620","관악","3","정원충족률","62.55%","67.34%","0.%","50.23%","54.19%","68.54%","0.%","53.3%"
"2025","11620","관악","2","아동현원수","4665","2942","0","111","809","440","0","363"
"2025","11620","관악","1","아동정원수","7458","4369","52","221","1493","642","0","681"
"2025","11590","동작","3","정원충족률","69.3%","68.49%","0.%","51.61%","70.16%","80.3%","79.59%","52.77%"
"2025","11590","동작","2","아동현원수","4908","3049","0","32","1039","587","39","162"
"2025","11590","동작","1","아동정원수","7082","4452","0","62","1481","731","49","307"
"2025","11560","영등포","3","정원충족률","73.25%","77.5%","79.75%","100.%","65.79%","87.98%","0.%","64.6%"
"2025","11560","영등포","2","아동현원수","7315","3504","63","40","948","893","0","1867"
"2025","11560","영등포","1","아동정원수","9986","4521","79","40","1441","1015","0","2890"
"2025","11545","금천","3","정원충족률","60.93%","65.31%","47.49%","66.96%","51.32%","74.83%","0.%","60.66%"
"2025","11545","금천","2","아동현원수","3453","1892","85","229","876","223","0","148"
"2025","11545","금천","1","아동정원수","5667","2897","179","342","1707","298","0","244"
"2025","11530","구로","3","정원충족률","70.71%","79.56%","60.26%","58.72%","58.81%","79.71%","35.%","51.43%"
"2025","11530","구로","2","아동현원수","7178","3874","138","138","1792","935","14","287"
"2025","11530","구로","1","아동정원수","10151","4869","229","235","3047","1173","40","558"
"2025","11500","강서","3","정원충족률","69.74%","75.59%","68.21%","70.74%","58.13%","76.2%","70.49%","67.83%"
"2025","11500","강서","2","아동현원수","8432","4158","118","266","1976","1095","43","776"
"2025","11500","강서","1","아동정원수","12091","5501","173","376","3399","1437","61","1144"
"2025","11470","양천","3","정원충족률","72.92%","79.99%","0.%","46.51%","63.07%","73.42%","0.%","55.05%"
"2025","11470","양천","2","아동현원수","5571","3257","0","20","1226","790","0","278"
"2025","11470","양천","1","아동정원수","7640","4072","0","43","1944","1076","0","505"
"2025","11440","마포","3","정원충족률","70.78%","74.38%","0.%","53.53%","67.75%","72.5%","64.71%","62.02%"
"2025","11440","마포","2","아동현원수","5125","3094","0","91","813","427","99","601"
"2025","11440","마포","1","아동정원수","7241","4160","0","170","1200","589","153","969"
"2025","11410","서대문","3","정원충족률","69.9%","72.98%","0.%","16.67%","66.84%","83.37%","0.%","50.81%"
"2025","11410","서대문","1","아동정원수","5990","3372","0","30","1544","487","0","557"
"2025","11380","은평","3","정원충족률","70.4%","80.71%","0.%","54.49%","59.5%","54.85%","75.%","67.68%"
"2025","11380","은평","2","아동현원수","6511","3896","0","85","2110","294","15","111"
"2025","11380","은평","1","아동정원수","9249","4827","0","156","3546","536","20","164"
"2025","11350","노원","3","정원충족률","67.3%","70.85%","44.53%","97.96%","53.52%","75.74%","0.%","56.97%"
"2025","11350","노원","2","아동현원수","5959","3036","57","48","1079","1555","0","184"
"2025","11350","노원","1","아동정원수","8854","4285","128","49","2016","2053","0","323"
"2025","11320","도봉","3","정원충족률","66.21%","75.93%","54.55%","44.44%","51.72%","68.75%","68.97%","63.78%"
"2025","11320","도봉","2","아동현원수","3733","2095","18","12","964","462","20","162"
"2025","11320","도봉","1","아동정원수","5638","2759","33","27","1864","672","29","254"
"2025","11305","강북","3","정원충족률","64.78%","67.65%","43.55%","57.14%","65.09%","51.86%","81.25%","20.41%"
"2025","11305","강북","2","아동현원수","3272","1681","27","28","1346","167","13","10"
"2025","11305","강북","1","아동정원수","5051","2485","62","49","2068","322","16","49"
"2025","11290","성북","3","정원충족률","77.62%","82.6%","52.29%","57.71%","77.79%","80.28%","73.47%","46.43%"
"2025","11290","성북","2","아동현원수","5559","3309","57","232","1121","635","36","169"
"2025","11290","성북","1","아동정원수","7162","4006","109","402","1441","791","49","364"
"2025","11260","중랑","3","정원충족률","70.57%","73.42%","0.%","62.03%","67.77%","76.88%","73.08%","54.41%"
"2025","11260","중랑","2","아동현원수","5900","2856","0","165","2170","542","19","148"
"2025","11260","중랑","1","아동정원수","8361","3890","0","266","3202","705","26","272"
"2025","11230","동대문","3","정원충족률","71.32%","70.85%","0.%","68.07%","73.36%","79.28%","0.%","49.08%"
"2025","11230","동대문","2","아동현원수","5428","3277","0","81","1294","616","0","160"
"2025","11230","동대문","1","아동정원수","7611","4625","0","119","1764","777","0","326"
"2025","11215","광진","3","정원충족률","69.25%","72.5%","0.%","0.%","64.83%","70.81%","55.1%","48.67%"
"2025","11215","광진","2","아동현원수","3842","2320","0","0","1080","342","27","73"
"2025","11215","광진","1","아동정원수","5548","3200","0","0","1666","483","49","150"
"2025","11200","성동","3","정원충족률","64.9%","63.79%","0.%","58.23%","62.06%","82.91%","0.%","55.56%"
"2025","11200","성동","2","아동현원수","4198","2965","0","92","427","524","0","190"
"2025","11200","성동","1","아동정원수","6468","4648","0","158","688","632","0","342"
"2025","11170","용산","3","정원충족률","71.81%","76.64%","37.84%","63.64%","68.81%","77.35%","0.%","62.02%"
"2025","11170","용산","2","아동현원수","2927","1575","14","70","461","304","0","503"
"2025","11170","용산","1","아동정원수","4076","2055","37","110","670","393","0","811"
"2025","11140","중구","3","정원충족률","61.2%","59.82%","0.%","69.41%","63.23%","73.15%","0.%","60.19%"
"2025","11140","중구","2","아동현원수","2524","1121","0","211","141","79","0","972"
"2025","11140","중구","1","아동정원수","4124","1874","0","304","223","108","0","1615"
"2025","11110","종로","3","정원충족률","56.05%","63.3%","25.97%","40.82%","62.81%","95.%","0.%","49.89%"
"2025","11110","종로","2","아동현원수","2154","1109","20","20","76","19","0","910"
